Date,District,Division,Latitude,Longitude,Temperature_2m_C,Temperature_Max_C,Temperature_Min_C,T2MDEW,Relative_Humidity_%,Precipitation_mm,Wind_Speed_m/s,WS10M,Wind_Direction_deg,Surface_Pressure_kPa,Solar_Radiation_kWh/m2,ALLSKY_SFC_LW_DWN,T2M_RANGE,QV2M
2024-08-19,Gazipur,Dhaka,24.0022,90.4264,27.43,29.43,26.01,26.35,93.83,48.34,3.45,4.92,129.6,100.1,9.44,38.1,3.42,21.6
2024-08-20,Gazipur,Dhaka,24.0022,90.4264,28.27,30.72,26.42,26.89,92.33,41.5,3.83,5.46,177.6,100.26,11.76,38.5,4.3,22.27
2024-08-21,Gazipur,Dhaka,24.0022,90.4264,27.96,29.3,26.96,27.11,95.05,85.01,3.19,4.58,171.2,100.37,3.64,38.41,2.34,22.53
2024-08-22,Gazipur,Dhaka,24.0022,90.4264,27.63,29.41,26.1,26.72,94.75,50.4,3.01,4.31,167.0,100.23,5.35,38.27,3.31,22.06
2024-08-23,Gazipur,Dhaka,24.0022,90.4264,27.15,28.59,25.88,26.17,94.31,6.82,2.8,4.05,143.9,100.43,13.73,37.93,2.71,21.29
2024-08-24,Gazipur,Dhaka,24.0022,90.4264,27.46,29.81,25.73,25.99,91.82,7.65,2.42,3.51,156.6,100.46,19.26,37.96,4.08,21.06
2024-08-25,Gazipur,Dhaka,24.0022,90.4264,26.91,28.83,25.35,25.6,92.61,22.95,2.66,3.83,129.5,100.26,16.2,37.46,3.48,20.61
2024-08-26,Gazipur,Dhaka,24.0022,90.4264,26.64,28.8,24.58,25.45,93.17,6.55,3.56,5.12,123.1,100.29,15.33,37.43,4.22,20.44
2024-08-27,Gazipur,Dhaka,24.0022,90.4264,27.94,31.38,25.19,26.08,89.98,1.37,2.21,3.2,153.2,100.47,18.03,38.0,6.19,21.18
2024-08-28,Gazipur,Dhaka,24.0022,90.4264,28.49,31.61,25.78,25.59,85.07,2.16,0.99,1.51,174.4,100.4,17.02,37.8,5.83,20.58
2024-08-29,Gazipur,Dhaka,24.0022,90.4264,29.15,32.49,26.09,26.22,84.83,1.29,0.73,1.17,194.9,100.29,20.61,38.51,6.4,21.4
2024-08-30,Gazipur,Dhaka,24.0022,90.4264,28.2,31.13,26.34,26.39,90.1,3.87,1.44,2.24,190.5,100.36,18.97,38.58,4.79,21.59
2024-08-31,Gazipur,Dhaka,24.0022,90.4264,27.59,29.09,26.03,26.4,93.24,11.14,1.87,2.89,155.0,100.43,17.8,37.83,3.06,21.59
2024-08-16,Gopalganj,Dhaka,23.005,89.8266,28.14,30.61,26.35,26.76,92.35,14.82,1.77,2.63,127.0,100.15,15.6,38.11,4.26,22.11
2024-08-17,Gopalganj,Dhaka,23.005,89.8266,27.7,30.26,25.8,26.14,91.4,16.14,2.21,3.19,91.6,100.16,19.52,37.88,4.46,21.31
2024-08-18,Gopalganj,Dhaka,23.005,89.8266,27.74,29.69,26.29,26.82,94.67,35.04,3.23,4.64,88.5,100.15,8.02,38.22,3.4,22.21
2024-08-19,Gopalganj,Dhaka,23.005,89.8266,27.55,28.8,26.71,26.8,95.59,60.06,2.9,4.19,164.9,100.09,10.42,38.28,2.09,22.2
2024-08-20,Gopalganj,Dhaka,23.005,89.8266,28.24,31.04,26.03,26.95,92.77,20.04,2.99,4.29,198.8,100.37,15.5,38.39,5.01,22.34
2024-08-21,Gopalganj,Dhaka,23.005,89.8266,27.95,29.11,26.97,27.2,95.58,27.39,3.11,4.51,198.3,100.44,10.76,38.29,2.14,22.64
2024-08-22,Gopalganj,Dhaka,23.005,89.8266,27.91,29.76,26.37,26.96,94.5,36.57,3.14,4.52,207.9,100.38,9.19,38.33,3.39,22.34
2024-08-23,Gopalganj,Dhaka,23.005,89.8266,27.32,28.97,26.04,26.4,94.65,25.77,2.86,4.13,150.6,100.41,14.05,38.06,2.93,21.6
2024-08-24,Gopalganj,Dhaka,23.005,89.8266,27.28,29.23,25.99,26.07,93.06,13.81,2.61,3.83,167.2,100.47,16.87,37.69,3.24,21.15
2024-08-25,Gopalganj,Dhaka,23.005,89.8266,26.99,29.55,25.25,25.65,92.49,73.2,1.82,2.67,190.0,100.26,8.81,37.64,4.3,20.67
2024-08-26,Gopalganj,Dhaka,23.005,89.8266,26.65,28.16,25.46,25.8,94.99,31.74,3.31,4.8,152.7,100.24,8.82,37.67,2.7,20.87
2024-08-27,Gopalganj,Dhaka,23.005,89.8266,27.06,29.6,24.77,25.65,92.13,5.12,1.69,2.56,157.3,100.51,12.86,37.52,4.83,20.63
2024-08-28,Gopalganj,Dhaka,23.005,89.8266,27.74,31.18,25.24,25.71,89.16,5.58,1.3,1.97,132.4,100.45,18.89,37.04,5.94,20.71
2024-08-29,Gopalganj,Dhaka,23.005,89.8266,27.81,30.85,25.14,25.8,89.12,1.34,1.47,2.23,154.9,100.36,22.93,37.48,5.71,20.85
2024-08-30,Gopalganj,Dhaka,23.005,89.8266,27.91,31.88,25.22,26.0,89.66,2.01,1.73,2.6,133.2,100.4,20.16,37.52,6.66,21.1
2024-08-31,Gopalganj,Dhaka,23.005,89.8266,28.16,31.15,25.96,26.63,91.62,6.05,2.23,3.35,136.5,100.44,19.08,37.56,5.19,21.89
2024-08-16,Jamalpur,Dhaka,24.9375,89.9372,28.21,30.55,26.05,26.38,89.84,33.1,1.36,1.99,115.6,99.97,19.03,37.91,4.5,21.68
2024-08-17,Jamalpur,Dhaka,24.9375,89.9372,28.47,31.78,26.12,26.04,87.11,6.17,1.9,2.83,82.2,100.05,17.98,38.02,5.66,21.22
2024-08-18,Jamalpur,Dhaka,24.9375,89.9372,27.87,29.98,26.02,25.9,89.17,5.79,2.33,3.37,86.2,100.16,12.17,38.07,3.96,21.02
2024-08-19,Jamalpur,Dhaka,24.9375,89.9372,26.95,28.47,25.49,25.81,93.43,7.7,3.0,4.3,79.1,99.96,14.21,38.3,2.98,20.95
2024-08-20,Jamalpur,Dhaka,24.9375,89.9372,27.73,29.15,26.21,26.83,94.79,63.33,3.63,5.24,117.1,99.9,13.42,38.77,2.94,22.29
2024-08-21,Jamalpur,Dhaka,24.9375,89.9372,28.03,29.64,26.7,27.02,94.2,35.37,2.64,3.82,131.5,100.1,10.92,38.31,2.94,22.48
2024-08-22,Jamalpur,Dhaka,24.9375,89.9372,27.47,29.41,26.04,26.25,93.14,25.55,2.49,3.6,100.7,100.03,9.66,38.39,3.37,21.49
2024-08-23,Jamalpur,Dhaka,24.9375,89.9372,27.35,29.15,25.76,26.2,93.47,12.5,2.66,3.86,126.2,100.23,13.04,38.12,3.39,21.38
2024-08-24,Jamalpur,Dhaka,24.9375,89.9372,28.02,30.98,25.45,26.32,90.69,6.01,2.46,3.54,140.6,100.24,18.0,38.03,5.53,21.53
2024-08-25,Jamalpur,Dhaka,24.9375,89.9372,26.96,28.53,25.55,25.82,93.42,10.81,2.31,3.37,123.7,100.07,17.13,37.42,2.98,20.91
2024-08-26,Jamalpur,Dhaka,24.9375,89.9372,26.37,28.75,24.69,24.92,91.82,2.86,3.98,5.69,107.7,100.1,11.12,37.66,4.06,19.82
2024-08-27,Jamalpur,Dhaka,24.9375,89.9372,27.78,31.01,24.96,25.85,89.46,0.76,2.45,3.6,130.6,100.28,17.71,37.81,6.05,20.94
2024-08-28,Jamalpur,Dhaka,24.9375,89.9372,28.38,31.09,25.91,25.73,85.93,0.55,1.23,1.87,196.0,100.18,19.59,37.3,5.18,20.79
2024-08-29,Jamalpur,Dhaka,24.9375,89.9372,29.08,31.66,25.77,25.41,81.05,0.62,0.88,1.38,213.1,100.11,21.74,37.78,5.89,20.42
2024-08-30,Jamalpur,Dhaka,24.9375,89.9372,28.99,31.73,26.69,26.3,85.56,2.26,1.16,1.77,162.2,100.14,17.24,38.34,5.04,21.53
2024-08-31,Jamalpur,Dhaka,24.9375,89.9372,28.52,31.29,25.86,26.39,88.43,3.26,1.9,2.84,166.0,100.2,19.02,37.65,5.43,21.63
2024-08-16,Kishoreganj,Dhaka,24.426,90.776,28.22,30.19,26.04,26.19,88.91,36.21,1.25,1.91,114.6,100.12,15.05,38.25,4.15,21.38
2024-08-17,Kishoreganj,Dhaka,24.426,90.776,27.39,29.84,25.73,25.93,91.86,15.35,2.49,3.68,82.5,100.2,16.26,38.0,4.11,21.03
2024-08-18,Kishoreganj,Dhaka,24.426,90.776,27.05,29.23,25.24,25.7,92.32,13.36,3.01,4.39,79.4,100.32,13.85,37.9,3.99,20.72
2024-08-19,Kishoreganj,Dhaka,24.426,90.776,26.96,29.13,25.31,25.96,94.21,31.33,3.57,5.15,98.9,100.1,9.44,38.1,3.82,21.11
2024-08-20,Kishoreganj,Dhaka,24.426,90.776,27.86,29.65,26.3,26.81,93.97,88.7,3.78,5.49,155.8,100.19,11.76,38.5,3.35,22.19
2024-08-21,Kishoreganj,Dhaka,24.426,90.776,27.82,29.32,26.55,26.95,94.96,83.71,2.9,4.23,152.0,100.32,3.64,38.41,2.77,22.34
2024-08-22,Kishoreganj,Dhaka,24.426,90.776,27.14,28.95,25.55,26.33,95.23,44.54,3.23,4.71,126.1,100.22,5.35,38.27,3.4,21.56
2024-08-23,Kishoreganj,Dhaka,24.426,90.776,27.24,29.08,25.62,26.13,93.67,8.1,2.33,3.47,137.9,100.41,13.73,37.93,3.46,21.25
2024-08-24,Kishoreganj,Dhaka,24.426,90.776,27.81,30.86,25.41,26.13,90.76,8.22,2.02,2.97,151.9,100.41,19.26,37.96,5.45,21.25
2024-08-25,Kishoreganj,Dhaka,24.426,90.776,26.95,29.11,25.42,25.68,92.85,11.79,2.5,3.67,116.2,100.22,16.2,37.46,3.69,20.72
2024-08-26,Kishoreganj,Dhaka,24.426,90.776,26.54,28.67,24.61,25.14,92.12,4.43,3.25,4.76,109.2,100.28,15.33,37.43,4.06,20.05
2024-08-27,Kishoreganj,Dhaka,24.426,90.776,28.02,31.35,25.09,26.08,89.54,1.5,2.17,3.23,131.1,100.44,18.03,38.0,6.26,21.2
2024-08-28,Kishoreganj,Dhaka,24.426,90.776,28.74,31.76,25.94,25.74,84.65,1.01,0.88,1.39,199.2,100.34,17.02,37.8,5.82,20.77
2024-08-29,Kishoreganj,Dhaka,24.426,90.776,28.98,32.29,25.61,25.8,83.57,0.62,0.54,0.95,311.6,100.25,20.61,38.51,6.68,20.87
2024-08-30,Kishoreganj,Dhaka,24.426,90.776,28.74,31.01,26.3,26.37,87.21,3.56,1.04,1.7,167.9,100.3,18.97,38.58,4.71,21.58
2024-08-31,Kishoreganj,Dhaka,24.426,90.776,28.08,30.19,25.74,26.36,90.5,6.78,1.68,2.6,168.7,100.38,17.8,37.83,4.45,21.55
2024-08-16,Madaripur,Dhaka,23.1641,90.1897,28.14,30.61,26.35,26.76,92.35,14.82,1.77,2.63,127.0,100.15,13.71,37.9,4.26,22.11
2024-08-17,Madaripur,Dhaka,23.1641,90.1897,27.7,30.26,25.8,26.14,91.4,16.14,2.21,3.19,91.6,100.16,13.13,38.22,4.46,21.31
2024-08-18,Madaripur,Dhaka,23.1641,90.1897,27.74,29.69,26.29,26.82,94.67,35.04,3.23,4.64,88.5,100.15,11.75,38.16,3.4,22.21
2024-08-19,Madaripur,Dhaka,23.1641,90.1897,27.55,28.8,26.71,26.8,95.59,60.06,2.9,4.19,164.9,100.09,3.98,38.21,2.09,22.2
2024-08-20,Madaripur,Dhaka,23.1641,90.1897,28.24,31.04,26.03,26.95,92.77,20.04,2.99,4.29,198.8,100.37,11.21,38.41,5.01,22.34
2024-08-21,Madaripur,Dhaka,23.1641,90.1897,27.95,29.11,26.97,27.2,95.58,27.39,3.11,4.51,198.3,100.44,2.48,38.21,2.14,22.64
2024-08-22,Madaripur,Dhaka,23.1641,90.1897,27.91,29.76,26.37,26.96,94.5,36.57,3.14,4.52,207.9,100.38,3.42,38.15,3.39,22.34
2024-08-23,Madaripur,Dhaka,23.1641,90.1897,27.32,28.97,26.04,26.4,94.65,25.77,2.86,4.13,150.6,100.41,13.75,37.78,2.93,21.6
2024-08-24,Madaripur,Dhaka,23.1641,90.1897,27.28,29.23,25.99,26.07,93.06,13.81,2.61,3.83,167.2,100.47,19.26,37.65,3.24,21.15
2024-08-25,Madaripur,Dhaka,23.1641,90.1897,26.99,29.55,25.25,25.65,92.49,73.2,1.82,2.67,190.0,100.26,8.8,37.61,4.3,20.67
2024-08-26,Madaripur,Dhaka,23.1641,90.1897,26.65,28.16,25.46,25.8,94.99,31.74,3.31,4.8,152.7,100.24,11.89,37.58,2.7,20.87
2024-08-27,Madaripur,Dhaka,23.1641,90.1897,27.06,29.6,24.77,25.65,92.13,5.12,1.69,2.56,157.3,100.51,15.89,37.6,4.83,20.63
2024-08-28,Madaripur,Dhaka,23.1641,90.1897,27.74,31.18,25.24,25.71,89.16,5.58,1.3,1.97,132.4,100.45,11.13,37.63,5.94,20.71
2024-08-29,Madaripur,Dhaka,23.1641,90.1897,27.81,30.85,25.14,25.8,89.12,1.34,1.47,2.23,154.9,100.36,21.73,37.88,5.71,20.85
2024-08-30,Madaripur,Dhaka,23.1641,90.1897,27.91,31.88,25.22,26.0,89.66,2.01,1.73,2.6,133.2,100.4,20.6,37.84,6.66,21.1
2024-08-31,Madaripur,Dhaka,23.1641,90.1897,28.16,31.15,25.96,26.63,91.62,6.05,2.23,3.35,136.5,100.44,19.27,37.69,5.19,21.89
2024-08-16,Manikganj,Dhaka,23.8617,90.0003,27.78,29.48,25.96,26.12,90.78,18.84,1.89,2.83,111.9,100.14,13.71,37.9,3.52,21.28
2024-08-17,Manikganj,Dhaka,23.8617,90.0003,27.74,30.34,26.13,26.07,90.87,8.3,2.88,4.05,67.7,100.18,13.13,38.22,4.21,21.22
2024-08-18,Manikganj,Dhaka,23.8617,90.0003,27.24,29.06,25.58,26.18,93.86,22.4,4.12,5.81,69.9,100.24,11.75,38.16,3.48,21.36
2024-08-19,Manikganj,Dhaka,23.8617,90.0003,27.43,28.9,26.06,26.42,94.14,18.66,2.61,3.69,97.3,100.05,3.98,38.21,2.84,21.7
2024-08-20,Manikganj,Dhaka,23.8617,90.0003,28.5,31.1,26.38,26.98,91.6,21.1,3.5,4.95,196.3,100.2,11.21,38.41,4.72,22.41
2024-08-21,Manikganj,Dhaka,23.8617,90.0003,28.27,29.97,27.0,27.27,94.25,52.66,2.27,3.25,185.1,100.31,2.48,38.21,2.97,22.76
2024-08-22,Manikganj,Dhaka,23.8617,90.0003,28.15,30.21,26.8,26.91,93.05,32.37,2.33,3.29,200.9,100.23,3.42,38.15,3.41,22.3
2024-08-23,Manikganj,Dhaka,23.8617,90.0003,27.42,29.04,26.06,26.36,93.94,15.09,3.06,4.35,131.6,100.38,13.75,37.78,2.98,21.55
2024-08-24,Manikganj,Dhaka,23.8617,90.0003,27.6,29.91,25.87,26.26,92.41,9.34,2.8,4.02,148.6,100.41,19.26,37.65,4.04,21.41
2024-08-25,Manikganj,Dhaka,23.8617,90.0003,27.02,28.8,25.66,25.68,92.47,33.33,2.26,3.26,118.0,100.22,8.8,37.61,3.14,20.72
2024-08-26,Manikganj,Dhaka,23.8617,90.0003,26.79,28.51,24.91,25.75,93.99,6.26,4.32,6.11,118.8,100.2,11.89,37.58,3.6,20.83
2024-08-27,Manikganj,Dhaka,23.8617,90.0003,27.66,30.85,25.04,25.83,90.04,1.19,2.04,2.98,144.6,100.45,15.89,37.6,5.81,20.86
2024-08-28,Manikganj,Dhaka,23.8617,90.0003,28.34,31.45,25.68,25.4,84.85,1.99,1.0,1.54,158.3,100.38,11.13,37.63,5.77,20.35
2024-08-29,Manikganj,Dhaka,23.8617,90.0003,29.0,31.95,26.25,26.05,84.42,1.3,0.82,1.21,165.5,100.28,21.73,37.88,5.7,21.18
2024-08-30,Manikganj,Dhaka,23.8617,90.0003,28.17,30.84,26.33,26.36,90.05,6.04,1.28,1.98,167.2,100.34,20.6,37.84,4.51,21.55
2024-08-31,Manikganj,Dhaka,23.8617,90.0003,27.78,29.26,25.86,26.54,93.02,4.3,2.07,3.1,144.3,100.4,19.27,37.69,3.4,21.78
2024-08-16,Munshiganj,Dhaka,23.5422,90.5305,27.97,30.67,25.95,26.34,91.07,16.09,2.12,3.04,116.6,100.15,13.71,37.9,4.72,21.56
2024-08-17,Munshiganj,Dhaka,23.5422,90.5305,27.71,30.19,25.87,25.9,90.14,19.26,2.23,3.1,100.2,100.18,13.13,38.22,4.32,20.99
2024-08-18,Munshiganj,Dhaka,23.5422,90.5305,27.3,28.81,25.93,26.44,94.93,40.66,4.21,5.89,94.1,100.24,11.75,38.16,2.88,21.69
2024-08-19,Munshiganj,Dhaka,23.5422,90.5305,27.51,28.53,26.54,26.63,94.86,72.43,3.78,5.3,152.8,100.11,3.98,38.21,1.99,21.96
2024-08-20,Munshiganj,Dhaka,23.5422,90.5305,28.31,30.88,26.38,26.92,92.26,34.13,3.87,5.4,183.8,100.34,11.21,38.41,4.5,22.29
2024-08-21,Munshiganj,Dhaka,23.5422,90.5305,27.97,29.22,27.12,27.08,94.84,72.09,3.58,5.03,179.0,100.43,2.48,38.21,2.1,22.48
2024-08-22,Munshiganj,Dhaka,23.5422,90.5305,27.89,29.34,26.63,27.04,94.99,69.97,3.94,5.53,185.0,100.32,3.42,38.15,2.71,22.45
2024-08-23,Munshiganj,Dhaka,23.5422,90.5305,27.24,28.56,26.16,26.27,94.34,9.62,3.2,4.5,147.1,100.44,13.75,37.78,2.4,21.41
2024-08-24,Munshiganj,Dhaka,23.5422,90.5305,27.39,29.31,25.91,25.95,91.89,7.42,2.45,3.48,158.8,100.48,19.26,37.65,3.4,21.0
2024-08-25,Munshiganj,Dhaka,23.5422,90.5305,26.92,28.72,25.37,25.61,92.54,44.37,2.43,3.43,144.5,100.26,8.8,37.61,3.35,20.61
2024-08-26,Munshiganj,Dhaka,23.5422,90.5305,26.83,28.77,25.05,25.78,93.92,16.4,3.71,5.21,134.0,100.29,11.89,37.58,3.72,20.85
2024-08-27,Munshiganj,Dhaka,23.5422,90.5305,27.78,30.99,25.23,26.05,90.56,2.03,2.25,3.2,160.0,100.5,15.89,37.6,5.76,21.13
2024-08-28,Munshiganj,Dhaka,23.5422,90.5305,28.38,31.5,25.85,25.63,85.73,6.59,1.03,1.52,153.2,100.41,11.13,37.63,5.65,20.62
2024-08-29,Munshiganj,Dhaka,23.5422,90.5305,28.65,31.95,25.91,26.29,87.48,2.61,1.23,1.82,188.8,100.31,21.73,37.88,6.04,21.48
2024-08-30,Munshiganj,Dhaka,23.5422,90.5305,28.28,31.93,26.01,26.15,88.62,3.75,1.73,2.48,182.0,100.38,20.6,37.84,5.92,21.28
2024-08-31,Munshiganj,Dhaka,23.5422,90.5305,27.94,29.98,26.32,26.65,92.72,12.45,2.04,3.0,142.0,100.45,19.27,37.69,3.66,21.9
2024-08-16,Mymensingh,Mymensingh,24.7471,90.4203,28.22,30.19,26.04,26.19,88.91,36.21,1.25,1.91,114.6,100.12,15.05,38.25,4.15,21.38
2024-08-17,Mymensingh,Mymensingh,24.7471,90.4203,27.39,29.84,25.73,25.93,91.86,15.35,2.49,3.68,82.5,100.2,16.26,38.0,4.11,21.03
2024-08-18,Mymensingh,Mymensingh,24.7471,90.4203,27.05,29.23,25.24,25.7,92.32,13.36,3.01,4.39,79.4,100.32,13.85,37.9,3.99,20.72
2024-08-19,Mymensingh,Mymensingh,24.7471,90.4203,26.96,29.13,25.31,25.96,94.21,31.33,3.57,5.15,98.9,100.1,9.44,38.1,3.82,21.11
2024-08-20,Mymensingh,Mymensingh,24.7471,90.4203,27.86,29.65,26.3,26.81,93.97,88.7,3.78,5.49,155.8,100.19,11.76,38.5,3.35,22.19
2024-08-21,Mymensingh,Mymensingh,24.7471,90.4203,27.82,29.32,26.55,26.95,94.96,83.71,2.9,4.23,152.0,100.32,3.64,38.41,2.77,22.34
2024-08-22,Mymensingh,Mymensingh,24.7471,90.4203,27.14,28.95,25.55,26.33,95.23,44.54,3.23,4.71,126.1,100.22,5.35,38.27,3.4,21.56
2024-08-23,Mymensingh,Mymensingh,24.7471,90.4203,27.24,29.08,25.62,26.13,93.67,8.1,2.33,3.47,137.9,100.41,13.73,37.93,3.46,21.25
2024-08-24,Mymensingh,Mymensingh,24.7471,90.4203,27.81,30.86,25.41,26.13,90.76,8.22,2.02,2.97,151.9,100.41,19.26,37.96,5.45,21.25
2024-08-25,Mymensingh,Mymensingh,24.7471,90.4203,26.95,29.11,25.42,25.68,92.85,11.79,2.5,3.67,116.2,100.22,16.2,37.46,3.69,20.72
2024-08-26,Mymensingh,Mymensingh,24.7471,90.4203,26.54,28.67,24.61,25.14,92.12,4.43,3.25,4.76,109.2,100.28,15.33,37.43,4.06,20.05
2024-08-27,Mymensingh,Mymensingh,24.7471,90.4203,28.02,31.35,25.09,26.08,89.54,1.5,2.17,3.23,131.1,100.44,18.03,38.0,6.26,21.2
2024-08-28,Mymensingh,Mymensingh,24.7471,90.4203,28.74,31.76,25.94,25.74,84.65,1.01,0.88,1.39,199.2,100.34,17.02,37.8,5.82,20.77
2024-08-29,Mymensingh,Mymensingh,24.7471,90.4203,28.98,32.29,25.61,25.8,83.57,0.62,0.54,0.95,311.6,100.25,20.61,38.51,6.68,20.87
2024-08-30,Mymensingh,Mymensingh,24.7471,90.4203,28.74,31.01,26.3,26.37,87.21,3.56,1.04,1.7,167.9,100.3,18.97,38.58,4.71,21.58
2024-08-31,Mymensingh,Mymensingh,24.7471,90.4203,28.08,30.19,25.74,26.36,90.5,6.78,1.68,2.6,168.7,100.38,17.8,37.83,4.45,21.55
